id,name
1109,Phillips
1110,Tattoo Annie
1111,Park Commissioner
1112,Assistant
1113,Jacqueline
1115,Coast Guard Officer
1116,Charley Weaver
1117,Gabbo
1118,CRANDALL
1119,Soldier Puppets
1120,Cossack Puppets
1121,Alphonse
1122,Commercial Announcer
1123,Casting Director
1124,Old Man Singers
1125,Bette Midler
1126,Hugh Hefner
1127,Anthony Kiedis
1128,Flea
1129,Elizabeth Taylor
1130,Counter Boy
1131,Mr. Johannson
1132,Luke Perry
1133,LUKE PERRY IN DREAM
1134,Chad Smith
1135,ARIK MARSHAL
1136,Krusty Announcer
1137,Chili Peppers
1138,Man At Table
1139,SPEEDED UP VOICES
1140,Melvin
1141,Quartet
1142,Tenor
1143,Be Sharps
1144,Paul Harvey
1145,Ronald Reagan
1146,Panicky Man
1147,Sarah Wiggum
1148,Female Talk Show Host
1149,George Harrison
1150,2-Year-Old Lisa
1151,Teenage Bellboy
1152,Surly Man
1153,Kako
1154,Human Fly
1155,Sinister Male Voice
1156,Schoolyard Girls
1157,MRS KRABAPPEL
1158,Parole Board Head
1159,People In Court
1160,Parole Board Member #1
1161,Parole Board
1162,Parole Board Member #2
1163,Man On Screen
1164,Woman On Tape
1165,Investigator
1166,Celestial Choir
1167,Woman's Voice
1168,Nrc Woman
1169,Nrc Man
1170,Dumb Employee #1
1171,Dumb Employee #2
1172,Counselor
1173,Admissions Man
1174,Admissions Woman
1175,Hillbilly Man
1176,Angry Dean
1177,Nerdlinger
1178,Scholar
1179,Overseers
1180,Jock
1181,Skinny Student
1182,Dean Bobby Peterson
1183,Professor
1184,Architect
1185,Men
1186,Dean
1187,Doug
1188,Gary
1189,Benjamin
1190,Automated Voice
1191,Guards
1192,7-YEAR OLD BURNS
1193,Burns' Mother
1194,Burns's Father
1195,George Burns
1196,Jimmy Carter
1198,RAMONE #1
1199,RAMONE #2
1200,RAMONE #3
1201,RAMONE #4
1197,George H.W. Bush
1108,Warden
1202,Drummer
1203,Mechanic
1204,Explorer
1205,Bear
1206,Workman
1207,Workman #2
1208,Hooded Man
1209,Dinosaur
1210,Mr. Boswell
1211,Pieces Of Homer
1212,Demon Technician
1213,Skeleton Judge
1214,Blackbeard
1215,Benedict Arnold
1216,Lizzie Borden
1217,KODO
1218,Exchange Student
1219,Gremlin
1220,GROUNDKEEPER WILLIE
1221,Bart Bat
1222,Humorist
1224,The Pope
1226,Scientist
1227,Technician #1
1228,Technician #2
1229,Lady
1230,Tape Player
1231,Lenny's Wife
1232,Tough Guy
1233,Mohawk Girl
1235,Woman #3
1236,Woman #4
1237,Fry Cook
1238,Diner Owner
1240,Flanders' Inner Child
1241,Homer's Inner Child
1242,Moe's Inner Child
1243,Women In Crowd
1244,Old Folks
1245,MR. KRABAPPEL
1246,James Brown
1247,Carpenter
1248,Dorky Teenager
1249,MCGARNIGAL
1250,Atari Andre Gregory
1251,Manuel Noriega
1252,Arcade Manager
1253,Wise Old Hobo
1254,Triple Milhouse
1255,Dorky Kid
1256,Pudgy Boy
1257,Fathers
1258,Ernest Borgnine
1259,Dolphins
1261,Arab Men
1262,Agent #1
1263,Zutroy
1264,Agent #2
1265,Optometrist
1266,Dermatologist
1267,Podiatrist
1268,Internist
1269,Jerry Lewis Bart
1271,Cherub Lenny
1272,Cherub Carl
1273,Fish
1274,Sexy Woman Announcer
1275,Jeeves
1276,WHITE HOUSE AIDE
1277,Turban Kid
1278,Fat Kid
1279,Nerds
1280,Big Hand Man
1281,Bellhop
1282,Passerby #1
1283,Passerby #2
1284,Chinese Waiter #1
1285,Chinese Waiter #2
1286,Newsreel Announcer
1287,Amos Guy
1288,Young Jasper
1289,Panhandler
1290,Angry Voice From Stall
1291,Henry Kissinger
1292,HENRY KISSINGER'S BRAIN
1293,Little Burns
1294,British Guy
1295,British Waitress
1296,Hippie
1297,Gerry Cooney
1298,Blackjack Players
1299,BIG TEXAN
1300,Ernst
1301,Gunter
1302,Teenage Attendant
1303,Someone
