id,normalized_name
1375,burns outer office
1376,bush house
1377,bush porch
1378,elks lodge
1379,storm drain
1380,sewer drain
1381,ogdenville outlet mall
1382,electronics outlet
1383,appliance zone
1384,fashion mart
1385,springfield opera house
1386,springfield glen country club
1387,golf course
1388,remote highway
1389,law firm
1390,haunted house
1391,downtown
1392,irs plaza
1393,irs building
1394,krusty street
1395,krusty mansion
1396,base of mountain
1397,springfield shores
1398,springfield marina - bait tackle shop
1399,bait tackle shop
1400,springfield marina - slip 8
1401,beach - a while later
1402,springfield historical society
1403,historical society
1404,copy jalopy
1405,graveyard
1406,springfield dragstrip
1407,burns limo
1408,tropical beach
1409,tropical night club
1410,business district
1411,channel 6 commentator booth
1412,bumtown section
1413,an even worse looking part of bumtown
1414,seedy hotel
1415,chester house
1416,springfield dmv
1417,30-style show-business restaurant
2173,jail cell
1418,the pimento grove
1419,troy house
1420,trendy restaurant
1421,route 18 flea-market and drive-in
1422,capitol city
1423,springfield botanical gardens
1424,botanical gardens
1425,delorean
1426,insinutainment tonight studios
1427,troy living room
1428,troy bedroom
1429,cracker factory
1430,salting room
1431,springfield commodities exchange
1432,springfield art-house theater
1433,street outside moe
1434,bart car
1435,martin house
1436,nelson house
1437,highway out of springfield
1438,site of the world fair
1439,downtown knoxville
1440,downtown knoxville street
1441,knoxville bonded courier service
1442,hong kong international airport
1443,cargo plane
1444,busy highway
1445,sanjays house
1446,bumblebee man house
1447,jailbird car
1448,sewer pipe
1449,children barber shop
1450,snippy longstocking
1451,gravesite
1452,cemetery gate
1453,caracas
1454,villa
1455,abandoned german castle
1456,mayor quimby office
1457,quimby waiting room
1458,quimby office
1459,quimby outer office
1460,great grampa simpsons home
1461,new york harbor
1462,calcutta technical institute
1463,springfield heights institute of technology
1464,computer lab
1465,dark alley
1466,immigration service
1467,suicide notes
1468,clearing in the woods
1469,hullabaloooza
1470,hullabaloooza fairgrounds
1471,hullabaloooza stage
1472,veterinarian office
1473,beach house
1474,strip mall
1475,teejay zaymart
1476,downtown pwagmattasquarmsettport
1477,beach boardwalk
1478,under the boardwalk
1479,far side of parking lot
1480,beach in front of the house
1481,convenience store
1482,kids beach party
1483,outskirts of carnival
1484,margarine tub
1485,springfield pond
1486,saucer
1487,washington dc - republican national committee
1488,washington dc - white house
1489,dole campaign stop
1490,springfield auditorium
1491,washington dc - us capitol
1492,smithers house
1493,model home
1494,cypress creek
1495,new simpson house
1496,globex corporation
1497,globex
1498,cypress creek elementary school
1499,hallway outside the classroom
1500,miscellaneous etc
1501,springfield gym
1502,back roads
1503,car wash
1504,springfield penitentiary
1505,historic mill
1506,new haven station
1507,burns private railroad car
1508,rural roadside
1509,natural history museum
1510,costume shop
1511,oil spill beach
1512,spooky victorian house
1513,burlesque house
1514,upscale kitchen store
1515,stoner pot palace
1516,casa nova
1517,southern cracker
1518,luann house
1519,county court house
1520,prof frink lab
1521,nelson room
1522,springfield observatory
1523,streets of springfield
1524,flanders former house
1525,new flanders house
1526,calmwood mental hospital
1527,insane asylum
1528,doctor foster house
1529,flanders booth
1530,observation room
1531,fairgrounds
1532,chili cook-off
1533,hallucinatory desert
1534,hallucination
1535,bob all-night furniture store
1536,waterfront district
1537,stormy seacoast
1538,lighthouse control room
1539,lighthouse
1540,open field
1541,fbi building
1542,police lineup area
1543,government lab
1544,back room
1545,springfield field
1546,municipal house of pancakes
1547,springfield baseball stadium
1548,springfield docks
1549,deserted stretch of highway
1550,mountains
1551,nearby picnic area
1552,mountain base
1553,nature center
1554,mountain top
1555,snowbank above buried cabin
1556,tunnel
1557,buried cabin
1558,ranger station
1559,rocket cabin
1560,bart
1561,mall conference room
1562,the androids dungeon and baseball card shop comic book store
1563,cockamamie
1564,downtown streets
1565,sha-boom ka-boom cafe
1566,springfield freeway
1567,ajax steel mill
1568,moe pick-up
1569,outskirts of springfield
1570,gate to santa village
