id,imdb,imdb_votes,number_in_season,number_in_series,datetime,season,title,us_viewers
188,7.6,958.0,10,188,1997-12-21,9,Miracle on Evergreen Terrace,9600000.0
201,8.3,962.0,23,201,1998-05-03,9,King of the Hill,9200000.0
192,8.1,1036.0,14,192,1998-02-15,9,Das Bus,9600000.0
204,7.6,932.0,1,204,1998-08-23,10,Lard of the Dance,7000000.0
190,7.7,938.0,12,190,1998-01-11,9,Bart Carny,11700000.0
195,8.0,957.0,17,195,1998-03-08,9,Lisa the Simpson,10400000.0
146,8.0,1016.0,18,146,1996-03-17,7,The Day the Violence Died,14400000.0
208,7.3,934.0,5,208,1998-11-08,10,When You Dish Upon a Star,9000000.0
210,8.0,909.0,7,210,1998-11-22,10,"Lisa Gets an ""A""",8000000.0
211,7.3,863.0,8,211,1998-12-06,10,"Homer Simpson in: ""Kidney Trouble""",7200000.0
252,7.2,731.0,4,252,2000-11-19,12,Lisa the Tree Hugger,14900000.0
215,6.9,880.0,12,215,1999-01-31,10,"Sunday, Cruddy Sunday",11500000.0
220,7.6,843.0,17,220,1999-03-28,10,Maximum Homerdrive,15500000.0
232,7.3,759.0,6,232,1999-11-14,11,"Hello Gutter, Hello Fadder",9200000.0
